date,co2
1975-09-09,329.25
1975-09-10,329.71
1975-09-11,329.52
1975-09-12,329.33
1975-09-13,329.14
1975-09-14,328.95
1975-09-15,327.86
1975-09-16,327.93
1975-09-17,327.39
1975-09-18,327.77
1975-09-19,327.66
1975-09-20,328.04
1975-09-21,327.97
1975-09-22,327.9
1975-09-23,328.16
1975-09-24,327.995
1975-09-25,327.83
1975-09-26,327.87
1975-09-27,328.055
1975-09-28,328.24
1975-09-29,328.29
1975-09-30,327.99
1975-10-01,327.64
1975-10-02,327.71
1975-10-03,327.7630769230769
1975-10-04,327.81615384615384
1975-10-05,327.86923076923074
1975-10-06,327.9223076923077
1975-10-07,327.9753846153846
1975-10-08,328.0284615384615
1975-10-09,328.08153846153846
1975-10-10,328.13461538461536
1975-10-11,328.18769230769226
1975-10-12,328.2407692307692
1975-10-13,328.2938461538461
1975-10-14,328.3469230769231
1975-10-15,328.4
1975-10-16,328.43
1975-10-17,328.46
1975-10-18,328.49
1975-10-19,328.52
1975-10-20,328.55
1975-10-21,328.66333333333336
1975-10-22,328.77666666666664
1975-10-23,328.89
1975-10-24,328.81
1975-10-25,328.65
1975-10-26,328.68
1975-10-27,328.61
1975-10-28,328.54
1975-10-29,328.75
1975-10-30,328.98
1975-10-31,329.21
1975-11-01,329.44
1975-11-02,329.41
1975-11-03,328.92
1975-11-04,328.6
1975-11-05,329.01
1975-11-06,329.2
1975-11-07,329.39
1975-11-08,328.82
1975-11-09,328.93
1975-11-10,329.1
1975-11-11,329.09
1975-11-12,329.05
1975-11-13,328.81
1975-11-14,329.06
1975-11-15,329.09000000000003
1975-11-16,329.12
1975-11-17,329.158
1975-11-18,329.196
1975-11-19,329.234
1975-11-20,329.272
1975-11-21,329.31
1975-11-22,329.44714285714286
1975-11-23,329.5842857142857
1975-11-24,329.7214285714286
1975-11-25,329.8585714285714
1975-11-26,329.99571428571426
1975-11-27,330.1328571428571
1975-11-28,330.27
1975-11-29,330.09
1975-11-30,329.72
1975-12-01,329.7702702702703
1975-12-02,329.82054054054055
1975-12-03,329.87081081081084
1975-12-04,329.9210810810811
1975-12-05,329.97135135135136
1975-12-06,330.02162162162165
1975-12-07,330.07189189189194
1975-12-08,330.12216216216217
1975-12-09,330.17243243243246
1975-12-10,330.2227027027027
1975-12-11,330.272972972973
1975-12-12,330.32324324324327
1975-12-13,330.3735135135135
1975-12-14,330.4237837837838
1975-12-15,330.4740540540541
1975-12-16,330.5243243243243
1975-12-17,330.5745945945946
1975-12-18,330.6248648648649
1975-12-19,330.6751351351351
1975-12-20,330.7254054054054
1975-12-21,330.7756756756757
1975-12-22,330.82594594594593
1975-12-23,330.8762162162162
1975-12-24,330.9264864864865
1975-12-25,330.97675675675674
1975-12-26,331.02702702702703
1975-12-27,331.0772972972973
1975-12-28,331.12756756756755
1975-12-29,331.17783783783784
1975-12-30,331.2281081081081
1975-12-31,331.27837837837836
1976-01-01,331.32864864864865
1976-01-02,331.3789189189189
1976-01-03,331.4291891891892
1976-01-04,331.47945945945946
1976-01-05,331.5297297297297
1976-01-06,331.58
1976-01-07,331.39
1976-01-08,331.2
1976-01-09,331.2
1976-01-10,331.2
1976-01-11,331.17
1976-01-12,331.26
1976-01-13,331.54499999999996
1976-01-14,331.83
1976-01-15,331.735
1976-01-16,331.64
1976-01-17,331.77
1976-01-18,331.73
1976-01-19,331.75
1976-01-20,331.77
1976-01-21,331.75
1976-01-22,331.42
1976-01-23,331.82
1976-01-24,331.47
1976-01-25,331.7
1976-01-26,332.06
1976-01-27,332.19
1976-01-28,331.59
1976-01-29,331.6766666666667
1976-01-30,331.7633333333333
1976-01-31,331.85
1976-02-01,332.27
1976-02-02,333.33
1976-02-03,332.35
1976-02-04,332.06
1976-02-05,332.24
1976-02-06,332.29333333333335
1976-02-07,332.34666666666664
1976-02-08,332.4
1976-02-09,332.24
1976-02-10,332.08
1976-02-11,332.51
1976-02-12,332.94
1976-02-13,332.1
1976-02-14,333.01
1976-02-15,332.74
1976-02-16,332.64
1976-02-17,332.35
1976-02-18,332.64
1976-02-19,332.71
1976-02-20,332.655
1976-02-21,332.6
1976-02-22,333.58
1976-02-23,334.14
1976-02-24,333.19
1976-02-25,333.405
1976-02-26,333.62
1976-02-27,333.27
1976-02-28,332.92
1976-02-29,332.64
1976-03-01,332.61
1976-03-02,332.58
1976-03-03,332.40666666666664
1976-03-04,332.23333333333335
1976-03-05,332.06
1976-03-06,332.3
1976-03-07,332.54
1976-03-08,332.96
1976-03-09,332.23
1976-03-10,333.02
1976-03-11,332.87
1976-03-12,333.24
1976-03-13,333.33
1976-03-14,334.44
1976-03-15,333.85
1976-03-16,333.7
1976-03-17,333.18
1976-03-18,333.03
1976-03-19,333.105
1976-03-20,333.18
1976-03-21,333.4125
1976-03-22,333.645
1976-03-23,333.8775
1976-03-24,334.11
1976-03-25,334.25333333333333
1976-03-26,334.3966666666667
1976-03-27,334.54
1976-03-28,334.57000000000005
1976-03-29,334.6
1976-03-30,334.50666666666666
1976-03-31,334.41333333333336
1976-04-01,334.32
1976-04-02,334.57
1976-04-03,334.75
1976-04-04,334.98
1976-04-05,335.02250000000004
1976-04-06,335.065
1976-04-07,335.10749999999996
1976-04-08,335.15
1976-04-09,335.35
1976-04-10,334.77
1976-04-11,333.01
1976-04-12,333.1842857142857
1976-04-13,333.35857142857145
1976-04-14,333.53285714285715
1976-04-15,333.70714285714286
1976-04-16,333.88142857142856
1976-04-17,334.0557142857143
1976-04-18,334.23
1976-04-19,334.81
1976-04-20,334.58
1976-04-21,335.155
1976-04-22,335.73
1976-04-23,334.42
1976-04-24,334.41
1976-04-25,334.53
1976-04-26,334.65
1976-04-27,333.98
1976-04-28,335.365
1976-04-29,336.75
1976-04-30,335.18
1976-05-01,334.74
1976-05-02,334.545
1976-05-03,334.35
1976-05-04,334.95
1976-05-05,333.94
1976-05-06,333.77666666666664
1976-05-07,333.61333333333334
1976-05-08,333.45
1976-05-09,334.4
1976-05-10,334.68
1976-05-11,334.725
1976-05-12,334.77
1976-05-13,333.95
1976-05-14,334.09
1976-05-15,334.06
1976-05-16,334.47333333333336
1976-05-17,334.88666666666666
1976-05-18,335.3
1976-05-19,335.155
1976-05-20,335.01
1976-05-21,335.51
1976-05-22,335.33
1976-05-23,335.27
1976-05-24,335.19
1976-05-25,335.31
1976-05-26,335.34
1976-05-27,335.15
1976-05-28,334.96
1976-05-29,334.77
1976-05-30,334.58
1976-05-31,334.88
1976-06-01,334.57
1976-06-02,334.44
1976-06-03,334.05
1976-06-04,334.06
1976-06-05,334.07
1976-06-06,334.44
1976-06-07,333.8
1976-06-08,334.36
1976-06-09,334.23
1976-06-10,334.2425
1976-06-11,334.255
1976-06-12,334.2675
1976-06-13,334.28
1976-06-14,334.145
1976-06-15,334.01
1976-06-16,334.14
1976-06-17,334.29
1976-06-18,334.12
1976-06-19,334.045
1976-06-20,333.97
1976-06-21,334.12
1976-06-22,334.10375
1976-06-23,334.0875
1976-06-24,334.07125
1976-06-25,334.055
1976-06-26,334.03875
1976-06-27,334.02250000000004
1976-06-28,334.00625
1976-06-29,333.99
1976-06-30,333.97375
1976-07-01,333.9575
1976-07-02,333.94125
1976-07-03,333.925
1976-07-04,333.90875
1976-07-05,333.89250000000004
1976-07-06,333.87625
1976-07-07,333.86
1976-07-08,333.7
1976-07-09,333.77
1976-07-10,333.06
1976-07-11,333.35
1976-07-12,333.475
1976-07-13,333.6
1976-07-14,333.5
1976-07-15,333.3857142857143
1976-07-16,333.27142857142854
1976-07-17,333.15714285714284
1976-07-18,333.04285714285714
1976-07-19,332.92857142857144
1976-07-20,332.8142857142857
1976-07-21,332.7
1976-07-22,332.42
1976-07-23,332.295
1976-07-24,332.17
1976-07-25,332.68
1976-07-26,332.54
1976-07-27,332.4
1976-07-28,332.26
1976-07-29,332.33
1976-07-30,331.88
1976-07-31,332.03
1976-08-01,331.835
1976-08-02,331.64
1976-08-03,331.82
1976-08-04,331.98
1976-08-05,331.815
1976-08-06,331.65
1976-08-07,331.34
1976-08-08,331.46
1976-08-09,331.58
1976-08-10,331.46
1976-08-11,329.37
1976-08-12,331.49
1976-08-13,330.44
1976-08-14,329.84
1976-08-15,330.61
1976-08-16,330.25
1976-08-17,330.27
1976-08-18,330.29
1976-08-19,330.79
1976-08-20,330.525
1976-08-21,330.26
1976-08-22,330.41
1976-08-23,330.76
1976-08-24,330.48
1976-08-25,329.92
1976-08-26,329.78
1976-08-27,330.02
1976-08-28,330.085
1976-08-29,330.15
1976-08-30,330.215
1976-08-31,330.28
1976-09-01,330.59
1976-09-02,330.318
1976-09-03,330.046
1976-09-04,329.774
1976-09-05,329.502
1976-09-06,329.23
1976-09-07,329.3825
1976-09-08,329.53499999999997
1976-09-09,329.6875
1976-09-10,329.84
1976-09-11,329.93499999999995
1976-09-12,330.03
1976-09-13,329.78749999999997
1976-09-14,329.54499999999996
1976-09-15,329.3025
1976-09-16,329.06
1976-09-17,329.1066666666667
1976-09-18,329.1533333333333
1976-09-19,329.2
1976-09-20,329.11
1976-09-21,328.25
1976-09-22,327.68
1976-09-23,328.5
1976-09-24,329.32
1976-09-25,328.1
1976-09-26,327.09
1976-09-27,328.13
1976-09-28,328.03
1976-09-29,327.93
1976-09-30,327.83000000000004
1976-10-01,327.73
1976-10-02,328.46000000000004
1976-10-03,329.19
1976-10-04,327.95
1976-10-05,328.16
1976-10-06,328.46500000000003
1976-10-07,328.77
1976-10-08,328.63
1976-10-09,329.05
1976-10-10,329.47
1976-10-11,328.99
1976-10-12,327.98
1976-10-13,327.75
1976-10-14,328.03
1976-10-15,328.31
1976-10-16,328.59000000000003
1976-10-17,328.87
1976-10-18,329.67
1976-10-19,329.594
1976-10-20,329.51800000000003
1976-10-21,329.442
1976-10-22,329.36600000000004
1976-10-23,329.29
1976-10-24,328.44
1976-10-25,328.79
1976-10-26,328.53
1976-10-27,328.86
1976-10-28,329.14
1976-10-29,329.18
1976-10-30,328.9666666666667
1976-10-31,328.75333333333333
1976-11-01,328.54
1976-11-02,329.29
1976-11-03,329.71
1976-11-04,329.895
1976-11-05,330.08
1976-11-06,330.20599999999996
1976-11-07,330.332
1976-11-08,330.45799999999997
1976-11-09,330.584
1976-11-10,330.71
1976-11-11,330.36
1976-11-12,330.74
1976-11-13,329.95
1976-11-14,330.31
1976-11-15,330.3
1976-11-16,329.84
1976-11-17,330.12
1976-11-18,330.15
1976-11-19,330.13
1976-11-20,330.32
1976-11-21,330.54
1976-11-22,330.98
1976-11-23,330.5
1976-11-24,330.22
1976-11-25,330.39
1976-11-26,330.52
1976-11-27,330.73
1976-11-28,330.6
1976-11-29,330.5
1976-11-30,330.6
1976-12-01,330.67
1976-12-02,330.77
1976-12-03,331.17
1976-12-04,330.45
1976-12-05,330.55
1976-12-06,330.65
1976-12-07,330.75
1976-12-08,330.85
1976-12-09,331.08500000000004
1976-12-10,331.32
1976-12-11,331.39
1976-12-12,331.674
1976-12-13,331.95799999999997
1976-12-14,332.242
1976-12-15,332.526
1976-12-16,332.81
1976-12-17,332.385
1976-12-18,331.96
1976-12-19,331.53
1976-12-20,331.73
1976-12-21,331.32
1976-12-22,331.64
1976-12-23,331.68
1976-12-24,331.72
1976-12-25,332.28
1976-12-26,332.2
1976-12-27,332.19
1976-12-28,332.18
1976-12-29,332.64
1976-12-30,332.47
1976-12-31,332.37
1977-01-01,332.4
1977-01-02,332.3
1977-01-03,332.89
1977-01-04,332.47
1977-01-05,332.3
1977-01-06,332.13
1977-01-07,332.32
1977-01-08,332.21
1977-01-09,332.24
1977-01-10,332.18
1977-01-11,331.94
1977-01-12,332.11
1977-01-13,332.89
1977-01-14,333.61
1977-01-15,333.38800000000003
1977-01-16,333.166
1977-01-17,332.944
1977-01-18,332.722
1977-01-19,332.5
1977-01-20,332.54
1977-01-21,333.15
1977-01-22,333.32
1977-01-23,333.38
1977-01-24,332.86
1977-01-25,332.9
1977-01-26,332.81666666666666
1977-01-27,332.7333333333333
1977-01-28,332.65
1977-01-29,333.33
1977-01-30,332.75
1977-01-31,332.9
1977-02-01,333.05
1977-02-02,333.15
1977-02-03,333.104
1977-02-04,333.058
1977-02-05,333.012
1977-02-06,332.966
1977-02-07,332.92
1977-02-08,333.06
1977-02-09,333.25666666666666
1977-02-10,333.4533333333333
1977-02-11,333.65
1977-02-12,333.28
1977-02-13,333.1166666666667
1977-02-14,332.9533333333333
1977-02-15,332.79
1977-02-16,333.03
1977-02-17,333.6
1977-02-18,333.29
1977-02-19,333.04
1977-02-20,332.78
1977-02-21,332.94
1977-02-22,333.69
1977-02-23,333.07
1977-02-24,333.24
1977-02-25,333.28
1977-02-26,333.25
1977-02-27,333.74
1977-02-28,333.52
1977-03-01,334.67
1977-03-02,334.73
1977-03-03,334.79
1977-03-04,334.92
1977-03-05,335.05
1977-03-06,334.69
1977-03-07,333.69
1977-03-08,333.79
1977-03-09,334.205
1977-03-10,334.62
1977-03-11,334.67
1977-03-12,334.72
1977-03-13,334.8
1977-03-14,335.36
1977-03-15,335.35
1977-03-16,335.43
1977-03-17,335.51
1977-03-18,335.23
1977-03-19,334.95
1977-03-20,335.65
1977-03-21,336.1
1977-03-22,335.38
1977-03-23,335.09
1977-03-24,335.28
1977-03-25,334.85
1977-03-26,334.42
1977-03-27,334.96
1977-03-28,335.195
1977-03-29,335.43
1977-03-30,335.09
1977-03-31,335.22
1977-04-01,335.5
1977-04-02,335.78
1977-04-03,336.06
1977-04-04,336.34
1977-04-05,336.03499999999997
1977-04-06,335.73
1977-04-07,335.97
1977-04-08,335.83250000000004
1977-04-09,335.69500000000005
1977-04-10,335.5575
1977-04-11,335.42
1977-04-12,335.2
1977-04-13,335.43
1977-04-14,336.1
1977-04-15,336.595
1977-04-16,337.09
1977-04-17,336.61
1977-04-18,335.71
1977-04-19,336.04
1977-04-20,336.2
1977-04-21,336.26
1977-04-22,336.33
1977-04-23,337.02
1977-04-24,336.15
1977-04-25,336.36
1977-04-26,336.57
1977-04-27,336.57
1977-04-28,336.04
1977-04-29,336.83500000000004
1977-04-30,337.63
1977-05-01,336.84
1977-05-02,337.12
1977-05-03,337.4
1977-05-04,337.24249999999995
1977-05-05,337.085
1977-05-06,336.9275
1977-05-07,336.77
1977-05-08,336.7625
1977-05-09,336.755
1977-05-10,336.7475
1977-05-11,336.74
1977-05-12,336.435
1977-05-13,336.13
1977-05-14,336.87
1977-05-15,337.19
1977-05-16,337.2733333333333
1977-05-17,337.3566666666667
1977-05-18,337.44
1977-05-19,337.18
1977-05-20,336.92
1977-05-21,336.84
1977-05-22,337.25
1977-05-23,337.03
1977-05-24,337.26
1977-05-25,337.06
1977-05-26,336.92
1977-05-27,336.62
1977-05-28,336.81
1977-05-29,336.76
1977-05-30,336.64
1977-05-31,336.85
1977-06-01,336.77
1977-06-02,336.69
1977-06-03,336.6
1977-06-04,336.24
1977-06-05,336.02
1977-06-06,336.28999999999996
1977-06-07,336.56
1977-06-08,336.17
1977-06-09,336.15
1977-06-10,336.02
1977-06-11,336.26
1977-06-12,336.13
1977-06-13,336.09
1977-06-14,336.03999999999996
1977-06-15,335.99
1977-06-16,335.94
1977-06-17,336.2
1977-06-18,335.71
1977-06-19,335.51
1977-06-20,336.01666666666665
1977-06-21,336.5233333333333
1977-06-22,337.03
1977-06-23,336.85
1977-06-24,336.59
1977-06-25,335.71
1977-06-26,335.66
1977-06-27,335.8
1977-06-28,336.0
1977-06-29,335.885
1977-06-30,335.77
1977-07-01,335.73
1977-07-02,335.46
1977-07-03,335.62
1977-07-04,335.57
1977-07-05,335.52000000000004
1977-07-06,335.47
1977-07-07,335.28
1977-07-08,335.234
1977-07-09,335.188
1977-07-10,335.142
1977-07-11,335.096
1977-07-12,335.05
1977-07-13,335.92
1977-07-14,335.14
1977-07-15,335.02
1977-07-16,335.05
1977-07-17,334.95
1977-07-18,334.8
1977-07-19,334.65
1977-07-20,334.5
1977-07-21,334.4533333333333
1977-07-22,334.4066666666667
1977-07-23,334.36
1977-07-24,334.21
1977-07-25,334.27
1977-07-26,334.22
1977-07-27,334.05
1977-07-28,333.88
1977-07-29,334.13
1977-07-30,333.87
1977-07-31,334.04
1977-08-01,333.78499999999997
1977-08-02,333.53
1977-08-03,333.53
1977-08-04,333.53
1977-08-05,333.2
1977-08-06,332.79
1977-08-07,333.0
1977-08-08,332.88
1977-08-09,332.4
1977-08-10,331.83
1977-08-11,332.205
1977-08-12,332.58
1977-08-13,332.74
1977-08-14,332.9
1977-08-15,332.73
1977-08-16,332.77250000000004
1977-08-17,332.815
1977-08-18,332.85749999999996
1977-08-19,332.9
1977-08-20,332.786
1977-08-21,332.67199999999997
1977-08-22,332.558
1977-08-23,332.44399999999996
1977-08-24,332.33
1977-08-25,331.56
1977-08-26,331.57
1977-08-27,332.125
1977-08-28,332.68
1977-08-29,332.33
1977-08-30,332.31
1977-08-31,332.29
1977-09-01,332.26
1977-09-02,331.69
1977-09-03,331.656
1977-09-04,331.622
